# name  ebv   ebv_u      rv   rv_u    c1   c1_u  c2     c2_u     c3     c3_u     c4     c4_u     x0     x0_u     gamma  gamma_u   nhi  nhi_unc
AzV18  0.167  0.013  3.30  0.38  -4.938  0.634  2.267  0.204  0.362  0.190  0.176  0.084  4.600  0.000  1.000  0.000   8.50  0.50
AzV23  0.182  0.006  2.65  0.17  -5.170  0.289  2.382  0.092  0.489  0.125  0.462  0.057  4.600  0.000  1.000  0.000   8.50  0.50
AzV214 0.147  0.012  2.40  0.30  -4.495  0.687  2.264  0.222  -0.123  0.065  -0.435  0.197  4.600  0.000  1.000  0.000  2.50  0.50
AzV398 0.218  0.024  3.14  0.34  -5.382  0.808  2.328  0.276  0.314  0.167  0.263  0.128  4.600  0.000  1.000  0.000  8.00  2.00
AzV456 0.263  0.016  2.05  0.17  -0.856  0.246  1.038  0.074  3.215  0.439  0.107  0.038  4.703  0.018  1.212  0.019  2.00  0.50
