|        name|        EBV|    EBV_unc|          AV|     AV_unc|         RV|    RV_unc|          NHI|       NHI_unc|          C1|     C1_unc|       C2|     C2_unc|          B3|     B3_unc|          C4|      C4_unc|       x0|     x0_unc|     gamma|  gamma_unc|
|        char|      float|      float|       float|      float|      float|     float|        float|         float|       float|      float|    float|      float|       float|      float|       float|       float|    float|      float|     float|      float|
|            |           |           |            |           |           |          |             |              |            |           |         |           |            |           |            |            |         |           |          |           |
|        null|       null|       null|        null|       null|       null|      null|         null|          null|        null|       null|     null|       null|        null|       null|        null|        null|     null|       null|      null|       null|
     2dfs0413  0.16108434  0.02839344    0.3493138  0.07122227    2.168515  0.5428375  8.174043e+21  7.2236795e+20   -2.7769034  0.15001307 1.6095722 0.046722725  -0.61240906  0.23935051   0.07792779   0.03328308      4.59         0.0       0.95         0.0 
     2dfs0626  0.20868675 0.025704894   0.49136764  0.06187541   2.3545704 0.36769915 1.6627869e+22 1.00864855e+21    -4.296181  0.21470173 2.2207932  0.07124563   0.17565587  0.17279911   -0.1289264  0.039601732      4.59         0.0       0.95         0.0 
     2dfs0662  0.19868675  0.02070059     0.508951 0.050104447   2.5615752  0.3373392 1.3459649e+22   4.046594e+20    -6.031586  0.20743546 2.5863755   0.0639171   0.04109191  0.12562054 -0.016278068  0.021762662      4.59         0.0       0.95         0.0 
     2dfs0699  0.14146988 0.021419369    0.3567376 0.032498244   2.5216506 0.41901702  1.308882e+22  4.6932047e+20    -5.729116  0.20407206 2.5579574  0.06592855    0.0656259  0.13335682  -0.11335488  0.025136426      4.59         0.0       0.95         0.0 
     2dfs3014       0.206 0.023760553    0.5522288 0.045723524   2.6807225 0.37135792 1.2777518e+22   4.160193e+20    -4.958321  0.13392878 2.1544335 0.033565965   0.15292336 0.091848664  -0.08294667  0.031557966      4.59         0.0       0.95         0.0 
     2dfs3171  0.37144578  0.02182263   0.89714736  0.04198531   2.4152849 0.16327503  9.553609e+21 1.17669784e+21    -4.619672  0.09642513 2.1821845 0.030027023    0.2693601  0.06989887   0.61727035  0.024022251      4.59         0.0       0.95         0.0 
        azv18  0.16368675 0.018459188    0.4231099 0.056094762   2.5848756 0.36973417 1.0055053e+22  1.1317938e+21    -4.865719  0.31059808 2.2070699  0.08942814   0.12507603  0.22072218 0.0070572784  0.038091157      4.59         0.0       0.95         0.0 
        azv23   0.2103253 0.013524578   0.66681045 0.034637284   3.1703768 0.20557855   8.90056e+21  4.7717302e+20    -5.685646   0.1891644 2.4128575 0.056890257   0.24896571  0.11520291   0.16173165  0.015482154      4.59         0.0       0.95         0.0 
       azv214  0.19561446 0.017436378    0.5070047 0.034209166    2.591857  0.2475387   5.51816e+21  6.0723216e+20   -4.1907253  0.20365173 1.7576953   0.0416829 -0.052332614  0.16414332  -0.23056279   0.03339528      4.59         0.0       0.95         0.0 
       azv218  0.12468675 0.020865025    0.6019153 0.043561295     4.82742  0.7961705 4.6664692e+21  1.8157638e+20    -8.362923   0.5415093 3.2660007  0.16657452   0.43219665   0.2094395  -0.41384012  0.060881756      4.59         0.0       0.95         0.0 
       azv398  0.28693977 0.016388394    1.0315405 0.033549935   3.5949721 0.21448858 1.1125238e+22  2.3882958e+21   -5.5438404  0.16413508  2.443959  0.04011831   0.18956774  0.10761003   0.08942573  0.033591483      4.59         0.0       0.95         0.0 
   bbb-smc280  0.15468675 0.020785267   0.86787516 0.036201343    5.610533    0.73801  7.617776e+21  1.8274245e+21   -4.1017013     0.24314 1.9236419 0.060685918   0.02438986  0.19354583   0.17635213  0.057214975      4.59         0.0       0.95         0.0 
  mr12-star09  0.09456626 0.006223227   0.27596682  0.17965025   2.9182374  1.9015195 8.3104215e+21  1.2190442e+21    -4.952643  0.53098637 2.4102528 0.110517785  0.024406549  0.38062584   0.19105911    0.1377294      4.59         0.0       0.95         0.0 
  smc5-000398 0.106759034 0.013506712    0.2220174  0.04785675   2.0796125 0.48521778 4.7731756e+20  1.1279232e+20   -1.9927484  0.10276916  1.726321 0.046853814   -0.1776467  0.18963932   0.18219468  0.025017025      4.59         0.0       0.95         0.0 
  smc5-003739  0.10268675 0.010848031   0.53437257  0.04707204   5.2039094  0.6559679  4.498836e+21  2.1208747e+20    -6.318131  0.30920884 2.7763493  0.09941828   0.16324379  0.17302243   0.21600245   0.03504735      4.59         0.0       0.95         0.0 
  smc5-079264   0.1923253 0.018131314    0.3853771  0.03327311   2.0037775 0.24277903 1.1197633e+22  5.5284113e+20   -4.8164105 0.113731235 2.3536317 0.036626264  -0.50533897  0.09860426   0.17259075  0.021296581      4.59         0.0       0.95         0.0 
     2dfs3030  0.25856626 0.026724901   0.70259136 0.042501044   2.7172585 0.29745683 1.1835954e+22  2.6704018e+20   -3.3782592  0.10302965 1.7900488  0.03149148   0.79492915 0.077241115  -0.11245347  0.019113872  4.711537 0.015511508  0.7155383 0.051628504 
       azv456  0.35483134 0.012202441    0.8474998  0.02315406   2.3884583 0.09676747 1.3132688e+21  2.2437028e+20   -1.7571036  0.08751714 1.2256068 0.013533271    1.8096861  0.04448018   0.11316423  0.014519209 4.6854835 0.012707961  1.4231242  0.07092372 
  mr12-star10  0.21068674 0.006223227    0.6493686 0.094754755    3.082152 0.45183784 3.6172987e+22  1.6540644e+22 -0.024665747  0.55659366 0.7943824 0.103792265     4.518161   0.3920139   0.63416857   0.15143001  4.832391 0.041153174  1.2028612  0.21595477 
