|   EBV|EBV_unc|    RV|RV_unc|                AV|              AV_unc|    C1|C1_unc|    C2|C2_unc|    C3|C3_unc|    C4|C4_unc|        x0|    x0_unc|     gamma| gamma_unc|
|double| double|double|double|            double|              double|double|double|double|double|double|double|double|double|    double|    double|    double|    double|
|   mag|    mag|      |      |               mag|                 mag|      |      |      |      |      |      |      |      |1 / micron|1 / micron|1 / micron|1 / micron|
|  null|   null|  null|  null|              null|                null|  null|  null|  null|  null|  null|  null|  null|  null|      null|      null|      null|      null|
   0.59    0.01   2.78    0.1 1.6401999999999999  0.16483805993762485  -0.06   0.17   0.87   0.04   2.64   0.11   0.35   0.04      4.585      0.004       0.87       0.02 
   0.64    0.01   2.87   0.07 1.8368000000000002   0.1298813735683451  -0.85   0.14    1.0   0.03   3.14   0.15   0.39   0.04      4.587      0.005       0.92       0.03 
   0.58    0.01   2.85   0.11              1.653   0.1825798176141054  -0.18   0.17   0.82   0.03   3.15   0.09   0.24   0.02      4.595      0.002       0.88       0.01 
   0.54    0.01   2.62    0.1             1.4148  0.14218564028761838  -0.45   0.17   0.88   0.04   3.11   0.15   0.22   0.01      4.597      0.004       0.92       0.02 
   0.54    0.01   2.75    0.1              1.485  0.14924065297364525  -0.83   0.17   1.03   0.04   3.15   0.11   0.23   0.01      4.611      0.004       0.96       0.02 
   0.58    0.01   2.72   0.09 1.5776000000000001  0.14285775593925587   0.31   0.22   0.74   0.05    3.0   0.12   0.12   0.01      4.589      0.004       0.84       0.02 
   0.53    0.01   2.84   0.11             1.5052  0.16625477403070266  -0.43   0.28   0.88   0.05   3.11    0.2    0.2   0.03      4.631      0.007       0.89       0.03 
   0.56    0.01   2.78   0.09             1.5568   0.1409742358305233  -0.22   0.24   0.88   0.05   3.16   0.12   0.12   0.02      4.575      0.004       0.86       0.01 
   0.58    0.02   2.62    0.1             1.5196  0.15496940105711193  -0.31   0.13   0.85   0.04   2.89   0.09   0.18   0.02      4.593      0.003       0.86       0.02 
   0.66    0.01   2.82   0.09             1.8612   0.1685388281910136  -0.47    0.1   0.91   0.03    3.0   0.08   0.23   0.02      4.606      0.003       0.89       0.01 
   0.72    0.01   2.81   0.08             2.0232  0.16311559876357626  -0.22   0.11   0.78   0.03   2.99   0.09   0.27   0.02      4.584      0.003       0.89       0.01 
   0.35    0.02   2.58   0.21 0.9029999999999999   0.1904880586808527  -0.22    0.3    0.9   0.11   3.13   0.36    0.7   0.15       4.56      0.009       1.09       0.06 
   0.76    0.01   3.08   0.07             2.3408   0.1655195553401471  -0.26    0.0   0.76   0.03   3.06   0.13   0.33   0.02      4.582      0.005       0.91       0.02 
   0.65    0.01   2.68   0.09 1.7420000000000002   0.1577448091063538  -0.24    0.2   0.78   0.04   3.12   0.14   0.34   0.03      4.598      0.003       0.89       0.02 
